2019_country_code,Country,2019_income_group,2019_total_gdp,2019_total_gdp_million,2019_gdp_variation
FRO,Faroe Islands,Ingreso Alto,3266432734.22819,3266.43273422819,4.53851028676189
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,394000000.0,394.0,4.08163265306123
GAB,Gabon,Ingreso Mediano Alto,16874405465.391,16874.405465391003,3.92080879452831
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,2851407164907.81,2851407.1649078103,1.62447515947532
GEO,Georgia,Ingreso Mediano Alto,17638337116.9126,17638.3371169126,5.38071926589951
GHA,Ghana,Países De Ingreso Mediano Bajo,68337969247.7067,68337.9692477067,6.5077747939152
GIB,Gibraltar,Ingreso Alto,0.0,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,13442861496.4454,13442.8614964454,5.61691446889876
GMB,Gambia,Países De Ingreso Bajo,1813609692.49994,1813.60969249994,6.22205315994859
GNB,Guinea-Bissau,Países De Ingreso Bajo,1588638853.59328,1588.63885359328,5.55045564999175
GNQ,Equatorial Guinea,Ingreso Mediano Alto,11364133549.7478,11364.1335497478,-5.48182537893445
GRC,Greece,Ingreso Alto,207305649887.019,207305.649887019,2.27718063644569
GRD,Grenada,Ingreso Mediano Alto,1213485185.18519,1213.48518518519,0.676511738873756
GRL,Greenland,Ingreso Alto,2997309971.87623,2997.3099718762296,2.83217756798683
GTM,Guatemala,Ingreso Mediano Alto,77172317258.6478,77172.3172586478,4.0178979343828
GUM,Guam,Ingreso Alto,6355000000.0,6355.0,2.52360203340596
GUY,Guyana,Ingreso Alto,5173760191.84652,5173.760191846521,5.35284003535665
HKG,Hong Kong,Ingreso Alto,363074545072.389,363074.54507238895,-1.67239123872136
HND,Honduras,Países De Ingreso Mediano Bajo,24882225741.8119,24882.2257418119,2.55963434592314
HRV,Croatia,Ingreso Alto,61467582193.6824,61467.58219368241,3.10043911443758
HTI,Haiti,Países De Ingreso Mediano Bajo,15016090929.5125,15016.0909295125,-1.72309699839232
HUN,Hungary,Ingreso Alto,164020460331.659,164020.460331659,4.86422573511891
IDN,Indonesia,Ingreso Mediano Alto,1119099871385.79,1119099.87138579,5.01928768046282
IMN,Isle Of Man,Ingreso Alto,7314967866.28289,7314.96786628289,0.254878786117672
IND,India,Países De Ingreso Mediano Bajo,2835606256558.19,2835606.25655819,3.87143694070356
IRL,Ireland,Ingreso Alto,407124824064.995,407124.824064995,5.040550288018
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,333519146339.191,333519.146339191,-3.0705879849703
IRQ,Iraq,Ingreso Mediano Alto,233636097800.338,233636.097800338,5.51379057540518
ISL,Iceland,Ingreso Alto,24681343649.2952,24681.3436492952,1.86117794293874
ISR,Israel,Ingreso Alto,399651065197.871,399651.06519787095,3.78514145224655
ITA,Italy,Ingreso Alto,2019606796583.53,2019606.79658353,0.429162534371912
JAM,Jamaica,Ingreso Mediano Alto,15830766570.7266,15830.7665707266,0.892291653822227
JOR,Jordan,Países De Ingreso Mediano Bajo,44503006338.0282,44503.0063380282,1.75124077866225
JPN,Japan,Ingreso Alto,5117993853016.51,5117993.85301651,-0.402169200910933
KAZ,Kazakhstan,Ingreso Mediano Alto,181667184854.501,181667.184854501,4.50000000091883
KEN,Kenya,Países De Ingreso Mediano Bajo,100378436207.371,100378.436207371,5.11415885767801
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,9371275264.36735,9371.27526436735,4.60062565707598
KHM,Cambodia,Países De Ingreso Mediano Bajo,36685356407.7206,36685.3564077206,7.93695013588524
KIR,Kiribati,Países De Ingreso Mediano Bajo,216985362.338171,216.985362338171,3.26425930432951
KNA,Saint Kitts And Nevis,Ingreso Alto,1107855555.55556,1107.8555555555602,2.83126737870639
KOR,"Korea, Republic Of",Ingreso Alto,1651422932447.77,1651422.93244777,2.24397786011012
KWT,Kuwait,Ingreso Alto,140856394870.02,140856.39487001998,2.26381690553512
