country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
FSM;Micronesia (federated states of);PAÍSES DE INGRESO MEDIANO BAJO;394000000;PAÍSES DE INGRESO MEDIANO BAJO;372000000;PAÍSES DE INGRESO MEDIANO BAJO;390000000;PAÍSES DE INGRESO MEDIANO BAJO;430000000;PAÍSES DE INGRESO MEDIANO BAJO;460000000
GAB;Gabon;INGRESO MEDIANO ALTO;16874405465;INGRESO MEDIANO ALTO;15342236164;INGRESO MEDIANO ALTO;19444935097;INGRESO MEDIANO ALTO;20440655695;INGRESO MEDIANO ALTO;19388402542
GBR;United kingdom of great britain and northern ireland;INGRESO ALTO;2851407164908;INGRESO ALTO;2696778386608;INGRESO ALTO;3143323050707;INGRESO ALTO;3114042471144;INGRESO ALTO;3380854520810
GEO;Georgia;INGRESO MEDIANO ALTO;17638337117;INGRESO MEDIANO ALTO;16010869216;INGRESO MEDIANO ALTO;18853115589;INGRESO MEDIANO ALTO;24984568960;INGRESO MEDIANO ALTO;30777833585
GHA;Ghana;PAÍSES DE INGRESO MEDIANO BAJO;68337969248;PAÍSES DE INGRESO MEDIANO BAJO;70043099676;PAÍSES DE INGRESO MEDIANO BAJO;79524421861;PAÍSES DE INGRESO MEDIANO BAJO;74263364042;PAÍSES DE INGRESO MEDIANO BAJO;76370396722
GIB;Gibraltar;INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0
GIN;Guinea;PAÍSES DE INGRESO MEDIANO BAJO;13442861496;PAÍSES DE INGRESO MEDIANO BAJO;14088693743;PAÍSES DE INGRESO MEDIANO BAJO;17069115738;PAÍSES DE INGRESO MEDIANO BAJO;19910452542;PAÍSES DE INGRESO MEDIANO BAJO;22199409741
GMB;Gambia;PAÍSES DE INGRESO BAJO;1813609692;PAÍSES DE INGRESO BAJO;1812170891;PAÍSES DE INGRESO BAJO;2014158842;PAÍSES DE INGRESO BAJO;2204734528;PAÍSES DE INGRESO BAJO;2396111022
GNB;Guinea-bissau;PAÍSES DE INGRESO BAJO;1588638854;PAÍSES DE INGRESO BAJO;1646400350;PAÍSES DE INGRESO BAJO;1853796456;PAÍSES DE INGRESO BAJO;1796608531;PAÍSES DE INGRESO BAJO;2048348108
GNQ;Equatorial guinea;INGRESO MEDIANO ALTO;11364133550;INGRESO MEDIANO ALTO;9893816008;INGRESO MEDIANO ALTO;12215878033;INGRESO MEDIANO ALTO;13687643436;INGRESO MEDIANO ALTO;12337550584
