country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
NGA;Nigeria;PAÍSES DE INGRESO MEDIANO BAJO;474517490844;PAÍSES DE INGRESO MEDIANO BAJO;432198898468;PAÍSES DE INGRESO MEDIANO BAJO;440833635874;PAÍSES DE INGRESO MEDIANO BAJO;477403400101;PAÍSES DE INGRESO MEDIANO BAJO;363846332835
NIC;Nicaragua;PAÍSES DE INGRESO MEDIANO BAJO;12699028890;PAÍSES DE INGRESO MEDIANO BAJO;12681569254;PAÍSES DE INGRESO MEDIANO BAJO;14144060853;PAÍSES DE INGRESO MEDIANO BAJO;15649897117;PAÍSES DE INGRESO MEDIANO BAJO;17829218219
NLD;Netherlands;INGRESO ALTO;928903005576;INGRESO ALTO;932560861701;INGRESO ALTO;1054472123450;INGRESO ALTO;1046540797549;INGRESO ALTO;1154361305398
NOR;Norway;INGRESO ALTO;408742840909;INGRESO ALTO;367633418887;INGRESO ALTO;503367986030;INGRESO ALTO;593726965416;INGRESO ALTO;485310823604
NPL;Nepal;PAÍSES DE INGRESO MEDIANO BAJO;34186180699;PAÍSES DE INGRESO MEDIANO BAJO;33433659301;PAÍSES DE INGRESO MEDIANO BAJO;36924841394;PAÍSES DE INGRESO MEDIANO BAJO;41182939601;PAÍSES DE INGRESO MEDIANO BAJO;40908073367
NRU;Nauru;INGRESO ALTO;124871111;INGRESO ALTO;124530027;INGRESO ALTO;175513985;INGRESO ALTO;156803087;INGRESO ALTO;154170289
NZL;New zealand;INGRESO ALTO;212846907683;INGRESO ALTO;212697530898;INGRESO ALTO;253644079785;INGRESO ALTO;246733522841;INGRESO ALTO;252175506110
OMN;Oman;INGRESO ALTO;88060858257;INGRESO ALTO;75909492848;INGRESO ALTO;87323797139;INGRESO ALTO;111943823147;INGRESO ALTO;108810923277
PAK;Pakistan;PAÍSES DE INGRESO MEDIANO BAJO;320909472771;PAÍSES DE INGRESO MEDIANO BAJO;300425609818;PAÍSES DE INGRESO MEDIANO BAJO;348516647445;PAÍSES DE INGRESO MEDIANO BAJO;374890295667;PAÍSES DE INGRESO MEDIANO BAJO;337912301398
PAN;Panama;INGRESO ALTO;69778991200;INGRESO ALTO;57059846500;INGRESO ALTO;67396392500;INGRESO ALTO;76276116700;INGRESO ALTO;83318176900
PER;Peru;INGRESO MEDIANO ALTO;228346006004;INGRESO MEDIANO ALTO;201409694756;INGRESO MEDIANO ALTO;226354278281;INGRESO MEDIANO ALTO;246488757636;INGRESO MEDIANO ALTO;267603248655
PHL;Philippines;PAÍSES DE INGRESO MEDIANO BAJO;376823402245;PAÍSES DE INGRESO MEDIANO BAJO;361751145452;PAÍSES DE INGRESO MEDIANO BAJO;394087359848;PAÍSES DE INGRESO MEDIANO BAJO;404353369605;PAÍSES DE INGRESO MEDIANO BAJO;437146372730
PLW;Palau;INGRESO ALTO;281941562;INGRESO ALTO;258990844;INGRESO ALTO;235752906;INGRESO ALTO;255591062;INGRESO ALTO;281849062
PNG;Papua new guinea;PAÍSES DE INGRESO MEDIANO BAJO;24750626041;PAÍSES DE INGRESO MEDIANO BAJO;23848447850;PAÍSES DE INGRESO MEDIANO BAJO;26109413522;PAÍSES DE INGRESO MEDIANO BAJO;31647277767;PAÍSES DE INGRESO MEDIANO BAJO;30729242919
POL;Poland;INGRESO ALTO;602683770145;INGRESO ALTO;605914237904;INGRESO ALTO;689170230665;INGRESO ALTO;695607470875;INGRESO ALTO;809200697797
PRI;Puerto rico;INGRESO ALTO;105126400000;INGRESO ALTO;103130900000;INGRESO ALTO;106426600000;INGRESO ALTO;113567200000;INGRESO ALTO;117902300000
PRK;Korea (democratic people's republic of);PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0
PRT;Portugal;INGRESO ALTO;240115970063;INGRESO ALTO;229618773423;INGRESO ALTO;256055879091;INGRESO ALTO;256898675069;INGRESO ALTO;289114289664
PRY;Paraguay;INGRESO MEDIANO ALTO;37925338329;INGRESO MEDIANO ALTO;35432178068;INGRESO MEDIANO ALTO;39950899939;INGRESO MEDIANO ALTO;41952910858;INGRESO MEDIANO ALTO;42956263544
PSE;Palestine, state of;PAÍSES DE INGRESO MEDIANO BAJO;17133500000;PAÍSES DE INGRESO MEDIANO BAJO;15531700000;PAÍSES DE INGRESO MEDIANO BAJO;18109000000;PAÍSES DE INGRESO MEDIANO BAJO;19165500000;PAÍSES DE INGRESO MEDIANO BAJO;17420800000
PYF;French polynesia;INGRESO ALTO;6022276196;INGRESO ALTO;5792545871;INGRESO ALTO;6150640646;INGRESO ALTO;5814661209;INGRESO ALTO;0
QAT;Qatar;INGRESO ALTO;176371267689;INGRESO ALTO;144411363345;INGRESO ALTO;179732009555;INGRESO ALTO;235709325708;INGRESO ALTO;213002809330
ROU;Romania;INGRESO ALTO;251677082534;INGRESO ALTO;252033792712;INGRESO ALTO;286578196368;INGRESO ALTO;296354358293;INGRESO ALTO;350775856415
RUS;Russian federation;INGRESO ALTO;1693115002708;INGRESO ALTO;1493075894362;INGRESO ALTO;1843392293734;INGRESO ALTO;2266029240645;INGRESO ALTO;2021421476035
RWA;Rwanda;PAÍSES DE INGRESO BAJO;10349300380;PAÍSES DE INGRESO BAJO;10174387374;PAÍSES DE INGRESO BAJO;11069280650;PAÍSES DE INGRESO BAJO;13316160895;PAÍSES DE INGRESO BAJO;14097768472
SAU;Saudi arabia;INGRESO ALTO;838564800000;INGRESO ALTO;734271200000;INGRESO ALTO;874156000000;INGRESO ALTO;1108571466667;INGRESO ALTO;1067582933333
SDN;Sudan;PAÍSES DE INGRESO BAJO;32338079165;PAÍSES DE INGRESO BAJO;27034593750;PAÍSES DE INGRESO BAJO;34229513775;PAÍSES DE INGRESO BAJO;51666875363;PAÍSES DE INGRESO BAJO;109265503111
SEN;Senegal;PAÍSES DE INGRESO MEDIANO BAJO;23403995992;PAÍSES DE INGRESO MEDIANO BAJO;24530513038;PAÍSES DE INGRESO MEDIANO BAJO;27520784130;PAÍSES DE INGRESO MEDIANO BAJO;27619479060;PAÍSES DE INGRESO MEDIANO BAJO;30848333084
SGP;Singapore;INGRESO ALTO;376901649222;INGRESO ALTO;349488382611;INGRESO ALTO;434111559283;INGRESO ALTO;498474540988;INGRESO ALTO;501427500080
SLB;Solomon islands;PAÍSES DE INGRESO MEDIANO BAJO;1619155017;PAÍSES DE INGRESO MEDIANO BAJO;1536145814;PAÍSES DE INGRESO MEDIANO BAJO;1522794913;PAÍSES DE INGRESO MEDIANO BAJO;1566360686;PAÍSES DE INGRESO MEDIANO BAJO;1633319401
SLE;Sierra leone;PAÍSES DE INGRESO BAJO;6523577590;PAÍSES DE INGRESO BAJO;6688594758;PAÍSES DE INGRESO BAJO;7165214368;PAÍSES DE INGRESO BAJO;7119137322;PAÍSES DE INGRESO BAJO;6411869546
SLV;El salvador;INGRESO MEDIANO ALTO;26881140000;INGRESO MEDIANO ALTO;24921190000;INGRESO MEDIANO ALTO;29043140000;INGRESO MEDIANO ALTO;31988920000;INGRESO MEDIANO ALTO;34015620000
SMR;San marino;INGRESO ALTO;1616232125;INGRESO ALTO;1544714493;INGRESO ALTO;1855396000;INGRESO ALTO;1831700577;INGRESO ALTO;0
SOM;Somalia;PAÍSES DE INGRESO BAJO;8655023960;PAÍSES DE INGRESO BAJO;8628393720;PAÍSES DE INGRESO BAJO;9483997404;PAÍSES DE INGRESO BAJO;10202767270;PAÍSES DE INGRESO BAJO;10968517090
SRB;Serbia;INGRESO MEDIANO ALTO;53864693665;INGRESO MEDIANO ALTO;55874017669;INGRESO MEDIANO ALTO;66159884073;INGRESO MEDIANO ALTO;66797564758;INGRESO MEDIANO ALTO;81342660752
SSD;South sudan;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0
STP;Sao tome and principe;PAÍSES DE INGRESO MEDIANO BAJO;412976083;PAÍSES DE INGRESO MEDIANO BAJO;471229485;PAÍSES DE INGRESO MEDIANO BAJO;524402456;PAÍSES DE INGRESO MEDIANO BAJO;540809499;PAÍSES DE INGRESO MEDIANO BAJO;678976265
SUR;Suriname;INGRESO MEDIANO ALTO;4016040575;INGRESO MEDIANO ALTO;2911807496;INGRESO MEDIANO ALTO;3107923198;INGRESO MEDIANO ALTO;3791603200;INGRESO MEDIANO ALTO;3455146281
SVK;Slovakia;INGRESO ALTO;105843498304;INGRESO ALTO;107732602896;INGRESO ALTO;120592216208;INGRESO ALTO;115928615553;INGRESO ALTO;132908336234
SVN;Slovenia;INGRESO ALTO;53909922736;INGRESO ALTO;53384760135;INGRESO ALTO;61529280461;INGRESO ALTO;59927702746;INGRESO ALTO;69148468417
SWE;Sweden;INGRESO ALTO;532169294166;INGRESO ALTO;545147614972;INGRESO ALTO;637186904844;INGRESO ALTO;579895717344;INGRESO ALTO;584960475767
SWZ;Eswatini;PAÍSES DE INGRESO MEDIANO BAJO;4594818143;PAÍSES DE INGRESO MEDIANO BAJO;4105756863;PAÍSES DE INGRESO MEDIANO BAJO;4737671576;PAÍSES DE INGRESO MEDIANO BAJO;4695372785;PAÍSES DE INGRESO MEDIANO BAJO;4442875788
SXM;Sint maarten (dutch part);INGRESO ALTO;1407880447;INGRESO ALTO;1236428101;INGRESO ALTO;1353071061;INGRESO ALTO;1537088715;INGRESO ALTO;1627776949
SYC;Seychelles;INGRESO ALTO;1868690097;INGRESO ALTO;1382551752;INGRESO ALTO;1487173795;INGRESO ALTO;2057968520;INGRESO ALTO;2141450171
SYR;Syrian arab republic;PAÍSES DE INGRESO BAJO;22583045060;PAÍSES DE INGRESO BAJO;12047752036;PAÍSES DE INGRESO BAJO;14353205678;PAÍSES DE INGRESO BAJO;23622827080;PAÍSES DE INGRESO BAJO;0
TCA;Turks and caicos islands;INGRESO ALTO;1177285212;INGRESO ALTO;774653669;INGRESO ALTO;1045782454;INGRESO ALTO;1228794383;INGRESO ALTO;1402054391
TCD;Chad;PAÍSES DE INGRESO BAJO;11314951092;PAÍSES DE INGRESO BAJO;10715396042;PAÍSES DE INGRESO BAJO;11779981333;PAÍSES DE INGRESO BAJO;12396807588;PAÍSES DE INGRESO BAJO;13149325362
TGO;Togo;PAÍSES DE INGRESO BAJO;6992700101;PAÍSES DE INGRESO BAJO;7400284168;PAÍSES DE INGRESO BAJO;8342243646;PAÍSES DE INGRESO BAJO;8169476149;PAÍSES DE INGRESO BAJO;9171261838
THA;Thailand;INGRESO MEDIANO ALTO;543976691794;INGRESO MEDIANO ALTO;500461898480;INGRESO MEDIANO ALTO;506256494297;INGRESO MEDIANO ALTO;495645210973;INGRESO MEDIANO ALTO;514968699239
TJK;Tajikistan;PAÍSES DE INGRESO MEDIANO BAJO;8300813599;PAÍSES DE INGRESO MEDIANO BAJO;8133963551;PAÍSES DE INGRESO MEDIANO BAJO;8937805347;PAÍSES DE INGRESO MEDIANO BAJO;10713525200;PAÍSES DE INGRESO MEDIANO BAJO;12060602009
TKM;Turkmenistan;INGRESO MEDIANO ALTO;45232857143;INGRESO MEDIANO ALTO;45818000000;INGRESO MEDIANO ALTO;50007428571;INGRESO MEDIANO ALTO;58972000000;INGRESO MEDIANO ALTO;60628857143
TLS;Timor-leste;PAÍSES DE INGRESO MEDIANO BAJO;2032550400;PAÍSES DE INGRESO MEDIANO BAJO;2162619200;PAÍSES DE INGRESO MEDIANO BAJO;3624889700;PAÍSES DE INGRESO MEDIANO BAJO;3208594000;PAÍSES DE INGRESO MEDIANO BAJO;2079916900
TON;Tonga;INGRESO MEDIANO ALTO;494197841;INGRESO MEDIANO ALTO;496856296;INGRESO MEDIANO ALTO;518228012;INGRESO MEDIANO ALTO;518180042;INGRESO MEDIANO ALTO;0
TTO;Trinidad and tobago;INGRESO ALTO;23775659263;INGRESO ALTO;20807716174;INGRESO ALTO;24496397205;INGRESO ALTO;30053446092;INGRESO ALTO;27372285698
TUN;Tunisia;PAÍSES DE INGRESO MEDIANO BAJO;41905642419;PAÍSES DE INGRESO MEDIANO BAJO;42491780918;PAÍSES DE INGRESO MEDIANO BAJO;46812290143;PAÍSES DE INGRESO MEDIANO BAJO;44579761023;PAÍSES DE INGRESO MEDIANO BAJO;48529595417
TUR;Turkey;INGRESO MEDIANO ALTO;761005915751;INGRESO MEDIANO ALTO;720338490327;INGRESO MEDIANO ALTO;819865223976;INGRESO MEDIANO ALTO;907118434654;INGRESO MEDIANO ALTO;1118252964261
TUV;Tuvalu;INGRESO MEDIANO ALTO;54123199;INGRESO MEDIANO ALTO;51746594;INGRESO MEDIANO ALTO;60196406;INGRESO MEDIANO ALTO;59065982;INGRESO MEDIANO ALTO;62280312
TZA;Tanzania, united republic of;PAÍSES DE INGRESO MEDIANO BAJO;61026731926;PAÍSES DE INGRESO MEDIANO BAJO;66068737786;PAÍSES DE INGRESO MEDIANO BAJO;70655628148;PAÍSES DE INGRESO MEDIANO BAJO;75769974505;PAÍSES DE INGRESO MEDIANO BAJO;79062403821
UGA;Uganda;PAÍSES DE INGRESO BAJO;35348155095;PAÍSES DE INGRESO BAJO;37600368242;PAÍSES DE INGRESO BAJO;40529788749;PAÍSES DE INGRESO BAJO;45565333211;PAÍSES DE INGRESO BAJO;48768955863
UKR;Ukraine;INGRESO MEDIANO ALTO;153883047510;INGRESO MEDIANO ALTO;156617722013;INGRESO MEDIANO ALTO;199765859571;INGRESO MEDIANO ALTO;161989520721;INGRESO MEDIANO ALTO;178757021965
URY;Uruguay;INGRESO ALTO;62222325807;INGRESO ALTO;53668636568;INGRESO ALTO;60760798596;INGRESO ALTO;70164683290;INGRESO ALTO;77240830877
USA;United states of america;INGRESO ALTO;21539982000000;INGRESO ALTO;21354105000000;INGRESO ALTO;23681171000000;INGRESO ALTO;26006893000000;INGRESO ALTO;27720709000000
UZB;Uzbekistan;PAÍSES DE INGRESO MEDIANO BAJO;67293639798;PAÍSES DE INGRESO MEDIANO BAJO;66443265418;PAÍSES DE INGRESO MEDIANO BAJO;77340060003;PAÍSES DE INGRESO MEDIANO BAJO;90095926567;PAÍSES DE INGRESO MEDIANO BAJO;101591769702
VCT;Saint vincent and the grenadines;INGRESO MEDIANO ALTO;910766667;INGRESO MEDIANO ALTO;869111111;INGRESO MEDIANO ALTO;872225926;INGRESO MEDIANO ALTO;966492593;INGRESO MEDIANO ALTO;1065962963
VEN;Venezuela (bolivarian republic of);NO CLASIFICADO;0;NO CLASIFICADO;0;NO CLASIFICADO;0;NO CLASIFICADO;0;NO CLASIFICADO;0
VGB;Virgin islands (british);INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0;INGRESO ALTO;0
VIR;Virgin islands (u.s.);INGRESO ALTO;4121000000;INGRESO ALTO;4229000000;INGRESO ALTO;4507000000;INGRESO ALTO;4672000000;INGRESO ALTO;0
VNM;Viet nam;PAÍSES DE INGRESO MEDIANO BAJO;334365270497;PAÍSES DE INGRESO MEDIANO BAJO;346615738538;PAÍSES DE INGRESO MEDIANO BAJO;366474752771;PAÍSES DE INGRESO MEDIANO BAJO;410324028883;PAÍSES DE INGRESO MEDIANO BAJO;429716969044
VUT;Vanuatu;PAÍSES DE INGRESO MEDIANO BAJO;936526268;PAÍSES DE INGRESO MEDIANO BAJO;909421044;PAÍSES DE INGRESO MEDIANO BAJO;950394007;PAÍSES DE INGRESO MEDIANO BAJO;1022219298;PAÍSES DE INGRESO MEDIANO BAJO;1126313359
WSM;Samoa;PAÍSES DE INGRESO MEDIANO BAJO;912950466;PAÍSES DE INGRESO MEDIANO BAJO;868898358;PAÍSES DE INGRESO MEDIANO BAJO;843923639;PAÍSES DE INGRESO MEDIANO BAJO;832945206;PAÍSES DE INGRESO MEDIANO BAJO;938189444
YEM;Yemen;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0
ZAF;South africa;INGRESO MEDIANO ALTO;389330032224;INGRESO MEDIANO ALTO;337974655408;INGRESO MEDIANO ALTO;420886877629;INGRESO MEDIANO ALTO;406920004594;INGRESO MEDIANO ALTO;380699271815
ZMB;Zambia;PAÍSES DE INGRESO MEDIANO BAJO;23308667781;PAÍSES DE INGRESO MEDIANO BAJO;18137764931;PAÍSES DE INGRESO MEDIANO BAJO;22096416932;PAÍSES DE INGRESO MEDIANO BAJO;29163782140;PAÍSES DE INGRESO MEDIANO BAJO;27577956471
ZWE;Zimbabwe;PAÍSES DE INGRESO MEDIANO BAJO;25717409842;PAÍSES DE INGRESO MEDIANO BAJO;26867936445;PAÍSES DE INGRESO MEDIANO BAJO;27240515109;PAÍSES DE INGRESO MEDIANO BAJO;32789751736;PAÍSES DE INGRESO MEDIANO BAJO;35231367886
